,Player,Pos,Age,Tm,Salary,Ensemble,Value Diff,LinReg,SVM,LogReg,Bayes,DecTree,Forest
0,Steven Adams,5,26,OKC,25842697,4243864,-21598833,11586532,2034120,1471382,2947304,10000000,13340433
1,Bam Adebayo,5,22,MIA,3454080,21284034,17829954,14940531,21224719,23775506,24157304,24119025,17795792
2,LaMarcus Aldridge,5,34,SAS,26000000,20245705,-5754295,12958378,20575005,22116750,23775506,5519400,13874876
3,Nickeil Alexander-Walker,2,21,NOP,2964840,1428899,-1535941,3817470,671346,77250,1312611,2029463,2261930
4,Grayson Allen,2,24,MEM,2429400,6219917,3790517,5610276,14720000,77250,2500000,8575916,4979090
5,Jarrett Allen,5,21,BRK,2376840,20655217,18278377,11946498,22897200,23775506,22642350,24434262,18133267
6,Kadeem Allen,2,27,NYK,79568,1790654,1711086,5109923,2350999,77250,46079,815615,7092457
7,Al-Farouq Aminu,4,29,ORL,9258000,2916744,-6341256,6063538,4186320,77250,1312611,52170,4545642
8,Kyle Anderson,4,26,MEM,9073050,6427153,-2645897,6176501,16000000,77250,1600520,1312611,5562351
9,Ryan Anderson,4,31,HOU,5714583,1019221,-4695362,3017993,1180080,77250,77250,1100000,858850
10,Giannis Antetokounmpo,4,25,MIL,25842697,25330620,-512077,22344565,25434263,26540100,26540100,23114066,18090790
11,Kostas Antetokounmpo,4,22,LAL,79568,757250,677682,1246371,1579440,77250,76236,543471,376677
12,Thanasis Antetokounmpo,3,27,MIL,1445697,522810,-922887,482087,1331160,77250,74158,1378242,1445143
13,Carmelo Anthony,4,35,POR,2159029,15138791,12979762,9576922,26243760,1312611,17000000,1689840,6625770
14,OG Anunoby,3,22,TOR,2281800,8577082,6295282,8217889,14087500,10000000,2898000,12078652,8142935
15,Ryan Arcidiacono,1,25,CHI,3000000,3799221,799221,3048083,10000000,77250,838464,1471382,3544656
16,Trevor Ariza,3,34,SAC,12200000,5003914,-7196086,4978416,12763467,77250,838464,1512601,4364535
17,DJ Augustin,1,32,ORL,7250000,6260704,-989296,8923392,7250000,77250,7250000,3097800,7169596
18,Deandre Ayton,5,21,PHO,9562920,18288243,8725323,12655774,15793104,22116750,22116750,11750000,11369844
19,Dwayne Bacon,2,24,CHO,1618520,5498314,3879794,3960657,14720000,77250,1312611,8575916,9096877
20,Marvin Bagley,4,20,SAC,8556120,7713099,-843021,13070161,4073760,77250,12000000,23500000,15501726
21,Lonzo Ball,1,22,NOP,8719320,8346019,-373301,9966152,11830358,77250,9000000,9000000,8284022
22,Mo Bamba,5,21,ORL,5697600,2198321,-3499279,3776961,2202240,77250,2393887,2534280,6080921
23,Harrison Barnes,4,27,SAC,24147727,13147551,-11000176,13273773,15050000,12000000,12000000,13333333,14484663
24,RJ Barrett,2,19,NYK,7839960,10780413,2940453,9581116,5519400,1312611,22116750,30769231,15155357
25,Will Barton,3,29,DEN,12776786,15955081,3178295,13224446,21590909,12000000,15000000,11233146,12343861
26,Keita Bates-Diop,3,24,MIN,1416852,6608349,5191497,6146543,16747954,77250,1512601,7000000,4510451
27,Nicolas Batum,3,31,CHO,25565217,3076064,-22489153,6883907,2300000,77250,3000000,3500000,9189659
28,Aron Baynes,5,33,PHO,5453280,8183754,2730474,7501574,15500000,1378242,6000000,13788500,10257991
29,Kent Bazemore,3,30,POR,19269663,3692758,-15576905,4707890,3073800,1312611,5000000,6800000,9290797
30,Darius Bazley,4,19,OKC,2284800,1438409,-846391,5363273,77250,77250,838464,198143,2378018
31,Bradley Beal,2,26,WAS,27093018,21409765,-5683253,18219115,24328425,12000000,26540100,3314365,18583457
32,Malik Beasley,2,23,DEN,2731713,1643546,-1088167,3358167,1757429,77250,1312611,77250,2096882
33,Marco Belinelli,2,33,SAS,5846154,1439013,-4407141,4451205,198143,77250,1349383,874636,4361308
34,Jordan Bell,5,25,MIN,1620564,1375759,-244805,3438582,1050961,77250,1050961,1524305,3831123
