Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPT,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams,C,26,OKC,17,17,26.4,4.5,7.4,0.611,0,0,,4.5,7.4,0.611,0.611,1.4,2.6,0.511,2.8,6.2,9,2.8,0.5,1,1.4,1.9,10.4,449,20.1,0.607,0,0.357,12,25.1,18.7,16.9,0.9,3.1,14.1,16.7,1.1,0.6,1.6,0.176,0.8,2.8,3.6,0.6
2,Bam Adebayo,C,22,MIA,21,21,32.6,5.1,9,0.563,0,0.3,0.167,5,8.8,0.576,0.566,3.6,5.5,0.655,2.4,7.9,10.3,4,1.4,1.2,2.8,2.5,13.9,684,19.1,0.604,0.032,0.611,8.9,26.1,17.9,18.7,2,3.8,19.7,18.9,1.1,1.4,2.5,0.179,-0.3,4.8,4.5,1.1
3,LaMarcus Aldridge,C,34,SAS,20,20,32.8,7.7,14.8,0.517,0.6,1.6,0.355,7.1,13.3,0.536,0.535,3,3.6,0.833,2.1,4.7,6.7,2.5,0.7,1.8,1.7,2.2,18.9,656,20.6,0.575,0.105,0.243,6.5,15.4,10.9,11.9,0.9,4.6,9.1,23.3,1.3,0.4,1.7,0.122,1,0.2,1.2,0.5
4,Nickeil Alexander-Walker,SG,21,NOP,17,0,14.2,2.3,7.1,0.322,1.3,3.8,0.338,1,3.3,0.304,0.413,0.6,0.8,0.714,0.2,2.1,2.3,2.1,0.3,0.1,1.2,1.5,6.5,242,7.5,0.433,0.537,0.116,1.3,16.3,8.5,21.1,1,0.7,13.6,25,-0.4,0.1,-0.3,-0.066,-3.8,-3,-6.8,-0.3
5,Grayson Allen,SG,24,MEM,11,0,19,2.4,6.8,0.347,1,3.3,0.306,1.4,3.5,0.385,0.42,1.4,1.5,0.882,0.2,2.9,3.1,1.6,0.4,0,1.1,1.7,7.1,209,7.2,0.473,0.48,0.227,1,16.4,8.6,11.8,0.9,0,12.7,18.7,-0.2,0.1,-0.1,-0.021,-3.6,-2.6,-6.3,-0.2
6,Jarrett Allen,C,21,BRK,21,18,26.6,4.7,7,0.671,0,0,0,4.7,6.9,0.676,0.671,2.6,4.4,0.598,3.6,7,10.6,1.2,0.7,1.3,1.1,2.6,12,558,22.6,0.673,0.007,0.63,14.3,26.8,20.7,6.7,1.3,4,11.4,15.6,1.8,0.8,2.6,0.227,1.2,2,3.2,0.7
7,Kadeem Allen,SG,27,NYK,1,0,16,3,6,0.5,3,4,0.75,0,2,0,0.75,0,0,,0,0,0,2,1,0,1,1,9,16,20.5,0.75,0.667,0,0,0,0,21.8,3.1,0,14.3,18.6,0.1,0,0.1,0.183,3.4,-7.5,-4,0
8,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3,380,8,0.395,0.419,0.337,6.6,18.1,12.2,7.6,2.3,1.9,14.7,13.2,-0.4,0.6,0.2,0.029,-4.5,2.6,-2,0
9,Kyle Anderson,PF,26,MEM,17,0,20.5,2.8,5.5,0.505,0.2,0.9,0.25,2.5,4.5,0.558,0.527,0.9,1.6,0.571,0.9,3.5,4.4,2.6,0.7,0.7,0.9,1.7,6.7,348,14.3,0.541,0.172,0.301,4.8,18.2,11.4,17.5,1.6,3,12.5,14.3,0.4,0.3,0.7,0.09,-1.3,1.4,0.1,0.2
10,Ryan Anderson,PF,31,HOU,2,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5,14,9.8,0.357,0.714,0,0,51,25.6,20.5,3.3,0,12.5,23.1,0,0,0,-0.02,-6.7,2.1,-4.6,0
11,Giannis Antetokounmpo,PF,25,MIL,22,22,31.7,11.5,20.3,0.565,1.6,5,0.318,9.9,15.3,0.646,0.604,6.5,11,0.591,2.6,10.6,13.2,5.5,1.4,1.4,3.9,3.2,31,697,34,0.617,0.247,0.543,8.7,31.2,20.6,31.4,2,3.7,13.3,37.5,2.7,1.8,4.5,0.308,7.6,5,12.6,2.6
12,Kostas Antetokounmpo,PF,22,LAL,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0,3,3.9,0,35.6,18.3,0,0,0,0,0,0,0,0.082,-9.5,-0.7,-10.2,0,,,,
13,Thanasis Antetokounmpo,SF,27,MIL,4,0,6.3,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,0.5,1,0.5,0.8,0,0.8,1,0,0,0.5,0.8,3.5,25,18,0.595,0,0.4,12.5,0,5.9,23.7,0,0,14.5,22.6,0.1,0,0.1,0.17,1.2,-3.7,-2.5,0
14,Carmelo Anthony,PF,35,POR,8,8,31,6.5,14.5,0.448,1.5,3.9,0.387,5,10.6,0.471,0.5,2.4,2.8,0.864,1,4.9,5.9,1.8,0.6,0.3,1.9,3.3,16.9,248,13.9,0.537,0.267,0.19,3.3,15.7,9.6,8.6,0.9,0.7,10.7,23.8,0.1,0.1,0.3,0.051,-1.6,-2.3,-3.9,-0.1
15,OG Anunoby,SF,22,TOR,19,19,29.6,4.3,8.1,0.532,1.6,3.6,0.456,2.7,4.5,0.593,0.633,0.7,1.3,0.52,0.9,4.6,5.5,1.7,1.2,0.9,1.2,2.5,10.9,562,14.3,0.63,0.442,0.162,3.3,15,9.4,8.3,1.9,2.7,12.2,14.4,0.7,1,1.7,0.148,0.8,3,3.7,0.8
16,Ryan Arcidiacono,PG,25,CHI,22,0,16.7,1.4,3.6,0.388,1,2.2,0.429,0.5,1.4,0.323,0.519,0.7,0.9,0.75,0.5,1.2,1.7,1.8,0.5,0.1,0.7,2,4.5,367,8.8,0.552,0.613,0.25,3,8,5.4,15,1.5,0.5,15.3,11.8,0.3,0.3,0.6,0.077,-1.7,-0.4,-2,0
17,Trevor Ariza,SF,34,SAC,13,0,21.2,1.5,4.3,0.339,1.1,3.2,0.333,0.4,1.1,0.357,0.464,0.5,0.7,0.778,0.4,3.1,3.5,0.8,0.8,0.2,0.8,1.6,4.5,275,6.5,0.492,0.75,0.161,2,17.3,9.4,4.9,2,0.7,15.5,11.2,-0.1,0.2,0.1,0.017,-3,0.2,-2.8,-0.1
18,D.J. Augustin,PG,32,ORL,21,5,25.7,3.2,8.2,0.387,1,3.3,0.319,2.1,5,0.433,0.451,2.1,2.4,0.882,0.5,2,2.5,4.6,0.6,0,1.4,1.1,9.6,539,13.1,0.514,0.399,0.295,1.9,8.5,5.1,26.8,1.2,0,12.9,18,0.6,0.4,1,0.091,-0.6,-1.8,-2.4,-0.1
19,Deandre Ayton,C,21,PHO,1,1,33,9,14,0.643,0,0,,9,14,0.643,0.643,0,0,,3,8,11,0,1,4,0,2,18,33,26.5,0.643,0,0,9.8,27.5,18.4,0,1.4,10.6,0,18.1,0.1,0.1,0.1,0.217,-2.7,0,-2.6,0
20,Dwayne Bacon,SG,24,CHO,17,10,20.4,2.8,8.5,0.326,0.6,2.4,0.25,2.2,6.1,0.356,0.361,1.1,1.6,0.679,0.5,2.2,2.7,1.2,0.8,0.1,1.1,1.8,7.2,347,4.9,0.393,0.278,0.194,2.4,12.7,7.3,8.6,1.8,0.5,10.8,21.9,-0.8,0.1,-0.7,-0.097,-7,-2.3,-9.3,-0.6
21,Marvin Bagley,PF,20,SAC,1,1,28,6,16,0.375,0,0,,6,16,0.375,0.375,2,4,0.5,4,6,10,0,1,1,1,1,14,28,14,0.394,0,0.25,15.9,25.5,20.5,0,1.8,3.3,5.3,29.1,-0.1,0,0,-0.039,-10.4,-7.1,-17.4,-0.1
22,Lonzo Ball,PG,22,NOP,13,10,27.8,4.1,10.9,0.373,2.3,6.8,0.341,1.8,4.2,0.426,0.479,0.5,0.8,0.6,0.8,3.4,4.2,5.6,1.1,0.2,2.4,1.9,10.9,361,12,0.485,0.62,0.07,3.1,13.3,8.1,28.2,1.8,0.7,17.5,20.2,0,0.1,0.1,0.02,-0.2,-1.4,-1.7,0
23,Mo Bamba,C,21,ORL,19,0,15.5,2.3,5.3,0.43,0.7,1.9,0.389,1.5,3.4,0.453,0.5,0.2,0.4,0.5,1.4,3.9,5.3,0.5,0.3,1.4,1.4,2.3,5.5,295,12.2,0.502,0.36,0.08,9.1,27.8,18.2,4.7,1,8.1,20.1,19,-0.3,0.6,0.3,0.043,-5.8,3.4,-2.4,0
24,J.J. Barea,PG,35,DAL,4,0,13.8,4,8,0.5,2.3,3.3,0.692,1.8,4.8,0.368,0.641,0.5,0.5,1,0.3,1.3,1.5,3,0.5,0.3,1,0.3,10.8,55,28.8,0.654,0.406,0.063,1.9,9.1,5.6,38.2,1.7,1.5,10.8,28.3,0.3,0,0.3,0.271,7.3,-2.7,4.6,0.1
25,Harrison Barnes,PF,27,SAC,20,20,35.1,5.6,11.6,0.485,1.5,3.9,0.372,4.2,7.7,0.542,0.548,3.6,4.5,0.8,1.1,3.8,4.9,2.1,1,0.2,1.4,1.3,16.3,702,15.9,0.601,0.338,0.39,3.5,12.7,7.9,9.1,1.3,0.5,9.1,18.4,1.4,0.3,1.7,0.119,1.4,-1.2,0.2,0.4
